N;Skill;Country
1;Polymechanics / Automation;Brasil
1;Polymechanics / Automation;Colombia
1;Polymechanics / Automation;México
1;Polymechanics / Automation;Peru
2;Information Network Cabling;Antilhas Holandesas
2;Information Network Cabling;Brasil
2;Information Network Cabling;Colombia
2;Information Network Cabling;México
4;Mechatronics;Brasil
4;Mechatronics;Chile
4;Mechatronics;Colombia
4;Mechatronics;El Salvador
4;Mechatronics;Guatemala
4;Mechatronics;México
4;Mechatronics;Peru
5;Mechanical Engineering Design - CAD;Brasil
5;Mechanical Engineering Design - CAD;Chile
5;Mechanical Engineering Design - CAD;Colombia
5;Mechanical Engineering Design - CAD;Guatemala
6;CNC Turning ;Brasil
6;CNC Turning ;Colombia
6;CNC Turning ;Costa Rica
6;CNC Turning ;El Salvador
6;CNC Turning ;México
7;CNC Milling;Brasil
7;CNC Milling;Colombia
7;CNC Milling;Costa Rica
7;CNC Milling;Dominican Republic
7;CNC Milling;México
9;IT Software Solutions;Brasil
9;IT Software Solutions;Chile
9;IT Software Solutions;Colombia
9;IT Software Solutions;Dominican Republic
9;IT Software Solutions;Guatemala
9;IT Software Solutions;México
10;Welding;Antilhas Holandesas
10;Welding;Bolívia
10;Welding;Brasil
10;Welding;Chile
10;Welding;Colombia
10;Welding;Costa Rica
10;Welding;Guatemala
10;Welding;Honduras
10;Welding;México
10;Welding;Panamá
10;Welding;Peru
12;Wall and Floor Tiling;Argentina
12;Wall and Floor Tiling;Antilhas Holandesas
12;Wall and Floor Tiling;Brasil
12;Wall and Floor Tiling;Colombia
15;Plumbing and Heating;Argentina
15;Plumbing and Heating;Brasil
15;Plumbing and Heating;Chile
15;Plumbing and Heating;Paraguai
16;Electronics;Brasil
16;Electronics;Chile
16;Electronics;Colombia
16;Electronics;Dominican Republic
16;Electronics;Guatemala
16;Electronics;Honduras
16;Electronics;México
16;Electronics;Panamá
16;Electronics;Peru
17;Web Design;Antilhas Holandesas
17;Web Design;Brasil
17;Web Design;Colombia
17;Web Design;Dominican Republic
17;Web Design;Guatemala
17;Web Design;México
18;Electrical Installations;Argentina
18;Electrical Installations;Bolívia
18;Electrical Installations;Brasil
18;Electrical Installations;Chile
18;Electrical Installations;Colombia
18;Electrical Installations;Costa Rica
18;Electrical Installations;Guatemala
18;Electrical Installations;Honduras
18;Electrical Installations;México
18;Electrical Installations;Panamá
18;Electrical Installations;Paraguai
19;Industrial Control;Brasil
19;Industrial Control;Chile
19;Industrial Control;Colombia
19;Industrial Control;El Salvador
19;Industrial Control;Guatemala
19;Industrial Control;México
19;Industrial Control;Peru
20;Bricklaying;Argentina
20;Bricklaying;Bolívia
20;Bricklaying;Brasil
20;Bricklaying;Colombia
21;Plastering and Drywall Systems;Argentina
21;Plastering and Drywall Systems;Antilhas Holandesas
21;Plastering and Drywall Systems;Brasil
21;Plastering and Drywall Systems;Colombia
23;Mobile Robotics;Brasil
23;Mobile Robotics;Chile
23;Mobile Robotics;Colombia
23;Mobile Robotics;México
24;Cabinetmaking;Brasil
24;Cabinetmaking;Costa Rica
24;Cabinetmaking;Estados Unidos
29;Hairdressing;Barbados
29;Hairdressing;Brasil
29;Hairdressing;Costa Rica
29;Hairdressing;Guatemala
31;Fashion Technology;Brasil
31;Fashion Technology;Colombia
31;Fashion Technology;Costa Rica
32;Confectioner/Pastry Cook;Brasil
32;Confectioner/Pastry Cook;Costa Rica
32;Confectioner/Pastry Cook;El Salvador
32;Confectioner/Pastry Cook;Guatemala
32;Confectioner/Pastry Cook;México
33;Automobile Technology;Brasil
33;Automobile Technology;Chile
33;Automobile Technology;Colombia
33;Automobile Technology;Costa Rica
33;Automobile Technology;Dominican Republic
33;Automobile Technology;Guatemala
33;Automobile Technology;México
33;Automobile Technology;Peru
33;Automobile Technology;Estados Unidos
34;Cooking;Antilhas Holandesas
34;Cooking;Bolívia
34;Cooking;Brasil
34;Cooking;Chile
34;Cooking;Colombia
34;Cooking;Costa Rica
34;Cooking;El Salvador
34;Cooking;Guatemala
34;Cooking;México
34;Cooking;Panamá
35;Restaurant Service;Antilhas Holandesas
35;Restaurant Service;Brasil
35;Restaurant Service;Colombia
35;Restaurant Service;Costa Rica
35;Restaurant Service;México
35;Restaurant Service;Panamá
38;Refrigeration;Brasil
38;Refrigeration;Colombia
38;Refrigeration;Guatemala
38;Refrigeration;Panamá
38;Refrigeration;Paraguai
39;IT Network Systems;Brasil
39;IT Network Systems;Chile
39;IT Network Systems;Colombia
39;IT Network Systems;Guatemala
39;IT Network Systems;México
39;IT Network Systems;Paraguai
40;Graphic Design Technology;Brasil
40;Graphic Design Technology;Chile
40;Graphic Design Technology;Colombia
40;Graphic Design Technology;Costa Rica
40;Graphic Design Technology;Guatemala
40;Graphic Design Technology;México
41;Health and Social Care;Argentina
41;Health and Social Care;Brasil
41;Health and Social Care;Chile
41;Health and Social Care;Colombia
41;Health and Social Care;México
46;Clothes Sewing;Bolívia
46;Clothes Sewing;Brasil
46;Clothes Sewing;Guatemala
46;Clothes Sewing;Peru
47;Conventional Turning;Bolívia
47;Conventional Turning;Brasil
47;Conventional Turning;Chile
47;Conventional Turning;Costa Rica
47;Conventional Turning;Guatemala
47;Conventional Turning;Honduras
47;Conventional Turning;México
48;Conventional Milling;Brasil
48;Conventional Milling;Chile
48;Conventional Milling;Costa Rica
48;Conventional Milling;Guatemala
48;Conventional Milling;Honduras
50;* Development of Mobile Applications;Brasil
50;* Development of Mobile Applications;Colombia
