skill_id;country_id
1;5
1;7
1;14
1;17
2;1
2;5
2;7
2;14
4;5
4;6
4;7
4;10
4;12
4;14
4;17
5;5
5;6
5;7
5;12
6;5
6;7
6;8
6;10
6;14
7;5
7;7
7;8
7;9
7;14
9;5
9;6
9;7
9;9
9;12
9;14
10;1
10;4
10;5
10;6
10;7
10;8
10;12
10;13
10;14
10;15
10;17
12;2
12;1
12;5
12;7
15;2
15;5
15;6
15;16
16;5
16;6
16;7
16;9
16;12
16;13
16;14
16;15
16;17
17;1
17;5
17;7
17;9
17;12
17;14
18;2
18;4
18;5
18;6
18;7
18;8
18;12
18;13
18;14
18;15
18;16
19;5
19;6
19;7
19;10
19;12
19;14
19;17
20;2
20;4
20;5
20;7
21;2
21;1
21;5
21;7
23;5
23;6
23;7
23;14
24;5
24;8
24;11
29;3
29;5
29;8
29;12
31;5
31;7
31;8
32;5
32;8
32;10
32;12
32;14
33;5
33;6
33;7
33;8
33;9
33;12
33;14
33;17
33;11
34;1
34;4
34;5
34;6
34;7
34;8
34;10
34;12
34;14
34;15
35;1
35;5
35;7
35;8
35;14
35;15
38;5
38;7
38;12
38;15
38;16
39;5
39;6
39;7
39;12
39;14
39;16
40;5
40;6
40;7
40;8
40;12
40;14
41;2
41;5
41;6
41;7
41;14
46;4
46;5
46;12
46;17
47;4
47;5
47;6
47;8
47;12
47;13
47;14
48;5
48;6
48;8
48;12
48;13
50;5
50;7
